title,nose,taste,finish,score
"Glen Moray 18, 47.2%","Malt, honey, toasted woodiness, sugary frosting, vanilla, hint of green apple, caramel, toasted marshmallow, light mint","Toasted wood, oaky char, sweet vanilla cream, tropical fruits, honeyed malt, caramel, friendly spice. Big flavorful and dynamic mouthfeel. Decent wood presence and sweetness, balanced and drinkable and very Scotchy still. Delivers on being a smooth 1st fill malty Scotch","Smooth vanilla toasted wood, sweet icing, honey, rich barley, light lingering wood spice. A delicious and decently long finish",8
"""WhistlePig 10 Single Barrel"" Shared Pour pick, 52.7%","Butterscotch, cinnamon, fresh green rye grain, mustiness, light sweet caramel, menthol and peppery spice, hot cinnamon cherry","Cinnamon, butterscotch, cream pastry, green rye, bright citrus, peppery spice heat. Clean rye flavor, sweet and butterscotchy with cinnamon and spice","Cinnamon strudel, green apple, butterscotch, cherry, mouth-tingling rye spice and cinnamon",7
"Blair Athol 2011 10 year ""Single Cask Nation,"" 2nd fill PX sherry butt 55.3%","Toffee, brown sugar, warming spice, strawberry, black cherry, light sherry funk, smooth musty wood, easy maltiness. Very balanced and flows nicely","Rich caramel, smooth sherry wine, dark red fruits, sweet strawberry and black cherry, smooth spice, light funk, brown sugar, toasted wood. The flavor is rich and smooth and flows beautifully. It's sweet but it's a rich toffee and earthy red fruit kind of sweetness, not an overload.","Blast of black cherry and spice, chocolate, fruity sherry funk, lingering caramel",7
"Dailuaine 1997 23 year Signatory, hogsheads 51%","THICC meaty malt, buttery, big sweet barley, vanilla, smooth cereal, hay, honey, sugary frosting, warm tropical fruits. It's so malty with a thick buttery softness. Ridiculously delicious and inviting","Wow, this is malt heaven. Thick buttery mouthfeel coats the mouth in barley goodness. THICC meaty malt, big sweet barley, buttery and smooth, happy tropical fruits, faint lemon zest, rich honey, hay and cereal notes. This is a total showcase for thick sweet barley. Thick oily mouthfeel and velvety soft at 51%. Goes down so easy it's so freaking good.","No complex surprises here, the malty perfection just keeps on coming. Sweet barley sugar, pop of light sweet spice, cake frosting, hint of gritty vanilla char. A long, sugary-sweet barley finish",9
"Longrow 11 Single Cask, Sauternes 56.6%","Toasted wood, toffee, chocolate, medicinal peat, hint of black licorice and mint, vanilla, charred peat, graham cracker, spice","Dark sweets of strawberry and tart cherry, charred wood, chocolatey peat, caramel malt, toffee, light earthy wine funk, minty spice. Lots of peat and rich wood notes, not super sweet or wine-heavy at all. More of a dark sweet undercurrent. Super drinkable, almost smooth but still thick flavor","Sweet tart fruits build bright but warm, spice, caramel, chocolatey wood, smooth smokiness, vanilla, brine, root beer char and mint",7
"Tomatin 1989 26 year Hart Brothers, 45.7%","Hay, cereal malt, slight musty funk, honey, light green apple and tropical fruits, hint of fennel spice. It's a nice delicate sweet and malty nose, honey and smooth cereal malt","Honey, vanilla icing, smooth cereal malt, light funk, just a hint of light fruits brighten it up, mild friendly spice. It's very straightforward and well-balanced. Light, sweet, with a friendly maltiness to it. Nice flavor and super drinkable but on the lighter side","Brightens slightly with sugary pastry, vanilla icing and tropical fruits, then richer honey, warm cereal malt, trails off into some lingereing light root beer char that puts a nice little ending to the finish",7
"L'Encantada Lous Pibous #186, 1996 55.6%","Thick cherry, toffee, vanilla, cool spice, deep toasted oak, mildly tannic, tobacco, thick creamy caramel, dark wood char. Lots of cherry, tons of dark wood, has a thickness to it","Sweet charred toasted oak, big sweet cherry, dark tannic oak, toffee, cool spice, creamy caramel, big vanilla. Big flavor, great depth and mouthfeel. It drinks amazingly well at 55%. Bold flavor with no real spice heat to speak of. Darkly sweet and tannic but almost creamy at the same time.","Complex oak notes, sweetly charred and beautifully toasted, tannic oak, coffee, building spice, creamy caramel, sweet cherry, vanilla. Lingers with cherry and sweet vanilla char",8
"Jean-Luc Pasquet Cognac ""Lot 75"" afish pick, 54.2%","Dark sweetly toasted Cognac wood, tobacco, light rancio, chocolate, mellow layer of nose-tingling wood spice, vanilla char, mint, dark grape. Classic heavy oaked Cognac, I love the combination of dark wood notes but with the dry almost delicate feel of a Cognac.","The heavy wood really comes alive on the palate. Big dark toasted oak, tobacco, vanilla, dark chocolate, caramel, lifting spice, dark cherry and grape, smooth dark oak tannins, light mint. Dark toasted oak that has a refined elegance to it in that way that Cognac does so well. Heavy oak unravels smoothly, doesn't assault the palate","Vanilla, dark sweetly toasted wood, smooth tannins, caramel, dry wood spice, barrel char. Keeps in character all the way through til the end, wonderful with no real surprises",8
"Jean-Luc Pasquet Cognac ""Lot 70"" afish pick, 52.1%","Butterscotch, caramel, orange citrus, smooth tannic oak, gritty graham cracker and nuttiness, green apple, delicious spice, barrel char. Thick and warm and butterscotchy with tons of lively complexity","Butterscotch, charred wood, sweet green apple, caramel, bright citrus, wood spice, smooth tannic oak, toasted nuttiness, understated tart berry, buttery wood, sweet bright spice. It has a creaminess, and it keeps building brighter and sweeter, but is well-balanced by the richer notes of buttery wood and thick butterscotch and charred oak. It's so complex and fun","Builds big and sweet, caramel, orange citrus, smooth tannic wood, nuttiness, holiday spice, sweet char, butterscotchy goodness, tart berries. Creamy and sweet finish with a nice smooth oakiness, just wow amazing to the end",9
"Jean-Luc Pasquet Cognac ""Lot 68-72"" afish pick, 57.1%","Milk chocolate and floral wood, silky-smooth tannic oak, sweet toffee, vanilla, cedar, wood spice, honey, sweet berries and strawberry, even a little tropical fruit comes through. It's quite woody but also feels smoothly sweet, notes are lifting and happy","Big sweet toasted wood and wood spice, mint, gritty toffee, milk chocolate, sweet sugary fruits of green apple, cherry, grape, easygoing honeyed floralness, smooth tannic wood, graham cracker, vanilla char, big dose of floral and peppery spice. Quite woody with a fair amount of spice, but still has a super inviting pleasant sweetness to it. Big, bold, sweet and woody mouthfeel","Wood spice, mint, milk chocolate, smooth toasted wood, toasted marshmallow, sweet berries and cherry, tropical fruits. Finishes big and bright and sweet with that wonderful edge of heavy sweet wood. Long finish the whole thing is deceivingly complex",8
"Baraillon 1973 46 year, 47%","Dank wet barnyard wood, rich mahogany, vanilla, barrel char, toffee, some fruity grape and dark cherry comes through, coffee, old slightly bitter woodiness, cool minty spice. It's a rich dank woodiness that stays pleasant and well-balanced, not overly oaked or tannic","Dank wet wood, cutting slightly bitter oak, gritty tannic oak and graham cracker you can almost chew on, some warmer notes of thick vanilla, caramel, strong fruity grape. Some perfumey floral notes pop up, wood spice. the whole thing is complex yet very cohesive, it feels warm and woody and old. There's some bitterness but it's not overwhelming and helps with that nice ""old"" feel it has. Plenty of fruit and sweetness too","Peppery spice builds, slowly settles into rich antique wood and caramel, slightly bitter, fruity grape, tannic oak, mellow wood spice. It's a long finish that lingers, old dank and woody but fruity and sweet too. There's bitterness but I like it",8
Springbank 12 Cask Strength 56.1%,"Toffee, milk chocolate, earthy charred funk, wood spice, brine, rich caramel malt, big toasted wood, vanilla, chocolate-covered red fruits. Wow","Smooth earthiness and smoky funk, dark toasted malt, chocolate, toffee, toasted wood, spice, vanilla, down and dirty char, brine, some sugary honeyed red fruits that gives it a nice sweet layer, big spice. Big powerful flavor and so complex. Has smoke and earthy funk and rich toffee malt, but it also has this smooth approachable sweetness to it.","Big pop of sweet spice, strawberry wine, sugary honeyed fruit, sweet toasted wood, vanilla, toffee, smooth chocolatey smokiness, char. It immediately hits surprisingly bright and sweet before descending into that wonderful Springbank smoky funky richness",8
"Mars Shinshu Komagatake 2020 Limited Edition, 50%","Some nice meaty body on this stuff. Thick hay malt, butterscotch, vanilla pudding, meaty yet smooth sherry, honey, red fruits, sulfur, baking spice, sweet fruity funk","Smooth meaty malt, hay, caramel, spice, honeyed red fruits, rich fruity wine, some nuttiness, butterscotch, soft baking spice. Nice balance of malt and warm sweet sherry notes, maybe leaning just slightly more to the sherried side. It basically has that same smoothly complex feel like the others, but it has more grit to it. Much thicker mouthfeel and more body to it than the others I tried.","Sweet honeyed fruits, brighter strawberry, a hint of meaty sulfur, hay malt, lightly floral, baking spice. Leaves sweet and malty with some smooth sulfury fruit",8
"Mars Shinshu Komagatake 2018 Limited Edition, 48%","Clean clear caramel, sugary frosting, smooth malt, sweet floral, citrus, musty smoke, light vanilla char. All elegantly smooth and balanced","Drinks crisp and clean, sweet and smoky. Caramel, sweet malt, sugary vanilla frosting, lemon citrus, clean smokiness, vanilla. For being so lightly peated there's a fair amount of smoke here, but lots of smooth malt and bright sweetness still comes through. It all balances very well","Sweet smoke, barley, sugary sweetness, vanilla, some musty wood, light peppery spice. Leaves sweet and smoky with a hint of spice",7
"Maker's Mark 2021 Wood Finishing Series ""FAE-02,"" 54.55%","Creamy caramel, baking spice, light butterscotch, cherry, orange caramel, bright citrus, mustiness, sweetly toasted wood, cinnamon. Sweet and bold and bright, delicious nose","Musty wood, bright cherry, creamy caramel, cinnamon, peppery spice kick, some sugary grain type notes, sweetly toasted wood. Maker's Mark often feels youthful and unbalanced to me, this is still in that familiar kind of MM profile but it gets the flavor and mouthfeel right. It's sweet and creamy and bright with a nice Bourbon-y spice kick","Spice and big sweet happy caramel, bold candy cherry that really shines, some creaminess and musty oak. Leaves creamy and spicy and oh so pleasantly sweet",8
"Mars Komagatake ""Nature of Shinshu - Kohiganzakura,"" 52%","Smooth malt, soft cereals, musty, buttery cream, clear bright floral notes, white pepper, a touch of tart berry. So soft and inviting. Malty, touching lightly on the other notes","Continues where the nose left off. Warm smooth malt, wholesome cereal goodness, sweetly floral, light butterscotch, gentle spice, hint of bright berry fruits. After some air time there's a mustiness to it, almost a very gentle peat. It all glides so smoothly over the tongue with a soft and flavorful mouthfeel. It has a balanced kind of complexity, it's so cohesive and elegant yet the more I drink it the more notes I pick up. Very well-done","Bright buttery cream and warm malt builds big, musty, easygoing floral notes, soft sweet cereal and malt lingers with lightly tart fruits and just a little spice",7
"Pouchegu 1978 42 year ""Rare Armagnac Collection,"" 49.9%","Big rich chocolatey oak, woody cherry, smooth dark tannins, savory graham cracker, burnt brown sugar, deep antique wood, vanilla, sweet char, undercurrent of thick chocolatey grape, just a hint of soft wood spice. Everything melds together thickly this epic","Big tannic oak with incredible depth, thick antique wood, sweet toasted cherry wood, balsamic, black cherry, wood spice, tons of vanilla. Amazing complexity, huge flavors that build and flow effortlessly. Has a beautiful tannic and balsamic bite to it but doesn't feel dry or bitter at all. Extremely well balanced by the sweeter toasted notes, vanilla and dark fruits. It all melds together thickly and has an awesome mouthfeel","Rich tannic oak and woody black cherry build huge, still with that incredible depth, wood spice, descends into some balsamic and dark char but still sweetly toasted and big vanilla. A long, intensely woody yet very sweet finish. Huge flavor, amazing and leaves you wanting more",9
"Pouchegu 1990 30 year ""Rare Armagnac Collection,"" 57.7%","Sweet, hot, and oaky. Black cherry, sweet toasted wood, wood spice, vanilla, nutty toffee, sweet barrel char, chocolate berry, smooth tannins","Dark and sweet, dark blackened wood, sweet pop of black cherry, deeply toasted oak, wood spice, rancio, roasted nuttiness, an interesting black licorice note, prune, vanilla, zingy black cherry and spice heat builds brighter. Huge action-packed mouthfeel but without being messy or hot. Dark and oaky and tannic but still very sweet, and lots of spice. The complexity is amazing.","Black cherry, smooth rancio and tannins, dark sweetly-toasted wood, big warm vanilla, zingy cherry and spice. Has a gritty tart darkness to it with just the right balance of rancio and heavy vanilla, leaves minty and fruity and sweetly charred",7
"Pouchegu 1984 36 year ""Rare Armagnac Collection,"" 56.9%","Toffee, black cherry, thick sweetly toasted wood, tons of vanilla, sweet candy grape, mint, smooth woody tannins, chocolate. Thick and smooth and woody with a rich vanilla/cherry sweetness and a sweet pop to it. Really fucking nice","Huge rich toasted woodiness, smooth tannins, thick syrupy dark cherry, a thick and woody mouthfeel, graham cracker, toffee, lots of vanilla, and then sweet grape and spice that keeps building bigger and bigger, a nice minty undercurrent. It has that thick dark feel I crave in these but also elements of brasher cherry and spice that explodes on the palate. Very complex and delicious with huge flavor. Wow it's fantastic","Big sweet dark cherry, spice, mint, root beer, bold sweetly toasted wood, vanilla. A huge delicious finish that stretches out for ages",9
"Pouchegu 1982 38 year ""Rare Armagnac Collection, 55.9%","Toffee, graham cracker, deep rich cherry wood, savory candied pecan kind of nuttiness, smooth tannins, vanilla, cherry, light mint","Blast of syrupy-sweet cherry and spice, thick caramel, big deeply toasted wood, vanilla, peppery spice, candied nuttiness, rich toffee. Hits with a bourbon-y blast of cherry and spice and wood, fills the mouth with big flavor, settles into thicker Armagnac notes of toffee and syrupy fruit sweetness and deeply toasted wood","Thick sweet finish, spice heat sticks around, thick toffee and savory nuttiness, brash cherry and spice, mint. Lingers hot and sweet in a really nice way",8
"L'Encantada Lassalle #102, 1992 49.9%","Dank dark wood, cacao, black cherry, burnt grape, vanilla, some mild minty spice and char. Rich dark and sweet","Bitter tannic oak, dark rancio, dark burnt grape, black cherry, sweet char, vanilla. Flavor is just a bit washed out and thin with a light mouthfeel, and quite a bit of bitterness. I love the dark flavor, there's really good stuff going on with the dark sweetness and rancio but the negatives combine to detract from it a little","Rancio, dark bitter wood, vanilla, black cherry. Dark burnt sweetness and rancio lingers with a touch of vanilla",6
"Bertrand Heritage Cognac, 49.2%","Graham cracker, toffee, rich wood, vanilla, warm smooth grape, some gentle floral spice, savory caramelized wood type notes, just delicious","Rich antique wood, a touch of dry tobacco, syrupy-thick caramel, brown sugar, sweetly toasted, orange, graham cracker, wood spice, grape candy, light breezy floral notes. Thick mouthfeel with tons of caramelized savory sweetness, rich elegant wood notes, the flavor flows so thick and beautiful","Smooth dry tannins kick in, easygoing tobacco, brown sugar, grape, vanilla, wood spice. Sweet woody and toasted finish",8
"""Elijah Craig Barrel Proof"" Single Barrel r/Bourbon pick, 9 year 63.7%","Creamy and nutty, nice mustiness, caramel, butterscotch, corn, toasted wood, menthol spice, sweet cherry. Huge presence but in a thickly balanced and creamy kind of way","Big sweet corn, creamy caramel, bright brash cherry, blast of bright happy spice, sweet toasted wood. Very similar to older ECBP but doesn't have the tannic oak, darker cola, or fiercer spice. It's more creamy and sweet, thickly balanced but with a big explosion of bright cherry and happy spice. So drinkable","Brash cherry and clean bright spice, sweet toasted wood, clean Bourbon-y corn. It's sweet and bright and just enough of a hot kick to remind you that you're drinking ECBP haha",8
"Grosperrin Cognac Bons Bois 1992 lot no. 679, 51.5%","Butterscotch, sweet floral caramel, some richer toffee creeps in, holiday spice, sandalwood with smooth wood spice, vanilla, sweet berries. A very nice sweet and easygoing nose with just a hint of richer toffee backbone to it, smoothly balanced","Smooth dry oak, cherry wood, aromatic wood spice, sandalwood, caramel, sweet smooth berry, soft grape, butterscotch. Has a delicious complex woody character to it that smoothly shifts while staying well-balanced. Feels creamy and sweet with just the right amount of dry aromatic woodiness","Tart berry builds brighter, woody caramel, butterscotch, smooth dry wood, some mild peppery spice, sweet cherry wood, vanilla.",7
Octomore 8.2,"Thick, intense, sludgy peat. Such a big powerful clean smokiness to it, salted pork, sharp bubbly wine, tart berry, burnt rubber, anise, a sharp almost metallic wine quality, vanilla cream, brine. The huge peat is layered softly over all of it","Big bright wine sweetness, black cherry, bubbly sweet berries, thick yet surprisingly clean peat that builds, smoky bbq, barley sugar, vanilla cream, sweet barrel char, black licorice, caramel, sea brine, charred oak. Trademark huge Octomore mouthfeel, with sludgy peat and big wine sweetness it's somehow nimble and complex yet thickly balanced at the same time. Like layers of flavor with that huge soft peat permeating it all.","Heavy charred peat and vanilla, robust cereal malt breaks through all the huge notes, balanced fruity wine sweetness. Charred sludgy peat, vanilla, and sweet berry wine lingers",8
"Nashville Barrel Company Rye 8 year (MGP) Orange County Bourbon Society/Cypress Liquor, 54.45%","Minty rye, big herbal notes, coffee, dark toasted oak, banana funk, cherry, peppery and herbal spice. The herbal notes and darker coffee gives it a really nice savory feel, an interesting and yummy nose","Toasted oak and coffee, graham cracker, builds to hot spice and herbal notes, zingy cinnamon, green rye grain, caramel, mint, sweet vanilla and cherry, hot herbal spice. Herbal and spicy and zingy, and it's good with the darker savory wood notes and sweetness that comes in. Brash but with some flavor to back it up","Cinnamon, herbal spice, sharp rye grain, cherry and mint, caramel wood, zingy spice, some lingering funk and herbal notes.",7
"L'Encantada Tattoo series 1 batch 2, 47.6%","Rich fruits, grape and cherry, tons and tons of vanilla, warm smooth toasted wood, toasted marshmallow, caramel, chocolate, nice smooth vanilla char. Delicious and super inviting","Dark caramel and smooth mildly tannic wood, vanilla, understated grape emerges and builds sweeter, tart cherry, some peppery dry wood spice. A hint of zingy corn in there with the spice. It's tasty but dark and somewhat muted compared to the wonderful nose. Tons of smooth dark wood and big sweet vanilla","Sweet candy cherry, big vanilla, light spice, smooth tannic wood, woody caramel, sweet grape, maybe just a hint of zingy corn and spice in there again. Lots of vanilla and grape lingers",7
"Cadenhead's Heaven Hill 10 year, 66.4%","Butterscotch, maple, buttery wood, sweet and creamy, corn, just a hint of minty spice to keep it from being too smooth. Still, it doesn't nose very much like a Bourbon at all. And definitely not a 64% one. It's almost Scotchy in it's creamy sweetness.","Big sweet corn, sugary frosting, cinnamon cherry candy, peppery spice, clean sweetly toasted wood, mint. It's a really interesting combo of sweet and creamy with a nice little Bourbon spice kick. Even with the spice this doesn't drink anywhere near 66% though, it's more of a balancing spice than any kind of burn. It still has that creamy-sweet Scotchy quality like the nose, but with more corn and spice kick coming through","Fruity cherry, mint and spice build brightly. Descends into more tart fruits and heavy spice layer. A fruity sweet and spicy finish but still not very oaky",7
"Strathisla 2010 9 year Hart Brothers, 1st fill Armagnac butt 53.8%","Butterscotch, caramel, smooth wood, tart red fruits, bready malt, some nice spice. It's mostly very Scotchy with just a little extra twang of tart fruits and spice. Comes together smoothly and cohesively, really good nose","Right away it arrives sharp and tart with big green apple and tart berry, smooths out into sugary frosting, caramel, buttery wood, bready malt, a nice little spice kick. Feels sweet and malty with a fun little twang of tart fruits and spice, it all balances together together well","Smooth spice, caramel, green apple, it's sugary sweet and tart but in a smooth Scotch-y way still, lingering green apple and spice",7
"Bertrand ""Ye Olde Schoole"" BdF2 cognac Legacy pick, 54.3%","Caramel and wood, smooth tannins, orange, creamy sweetness, smooth tingly spice, vanilla, warm and pleasant. Toasted and caramel-y and smoothly oaky, like almost monotone in a good cohesive way","Creamy caramel, big warm wood spice, rich and sweetly toasted, Just a touch of drier tannic oak to balnce out the sweetness, light root beer, tart grape, sweet candy cherry, minty spice. Lots of woody caramel type flavor, big spice warmth, and very sweet from the caramel and fruits. Very cohesive and smooth despite it's big bold flavors and spice","Caramel, strong layer of smooth wood spice, sweet cherry and toasted wood. lingering caramel-toasted wood, spice and cherry",8
"W.B. Saffell Bourbon, 53.5%","Big musty wood, caramel, smooth pleasant funk, corn, some berry fruits, vanilla, clove spice. Musty and sweet, nice Bourbon-y Turkey nose","Brown sugar and woody caramel, sweet corn, light Turkey funk, cherry, vanilla, big clove and spice builds to a decent peppery spice kick with hot cherry, mild tobacco and tannic wood. Nice wood action here, plenty of big Boourbon-y sweetness, and a decent spice kick to it. A really fun little Bourbon.","Sweet brown sugar and caramel, the peppery spice kick calms down into a thick layer of clove spice and brash syrupy-sweet corn that rides out nicely",7
"""Vaudon Cognac Lot 78/80"" Legacy Brandy pick, 52.2%","Musty antique wood, woody caramel, vanilla, light chocolate, some berries and cherry comes through, floral notes, nose-tingling layer of wood spice. Nice woody caramel nose but just a tad thin and lacking presence","Berries and tart fruit, creamy caramel, big blast of hot spice and bright zingy floral notes, green apple, frosting, sweet toasted wood. The higher abv is apparent on this with some spice heat, but it's not overwhelming and there's plenty of big lively flavor to go with it. Very complex with big action-packed mouthfeel","Bright spice that builds and rides out a long time with green apple, caramel, bright sweet floral notes, some richer graham cracker and pastry",7
"""Francois Voyer Cognac Lot 71-88"" Legacy Brandy pick, 43%","Sweet sugary fruits, caramel, bold grape, lioght dry woodiness, frosting, cherry, light root beer, pleasant spice. Such a delicious and inviting nose","Sweet caramel, bright tropical fruits and floral notes, some mild zingy spice, sweet sugary frosting, lively spice. Bright and sweet and fruity, but in a very controlled way at the low abv. All the flavor is very pleasant and it drinks great at 43%","Spice and bright sweet tropical fruits, sugary frosting, big sweet caramel. The bright fruits just pop and it leaves sweet and very satisfying",7
"Glen Ord 2004 13 year Hart Brothers, refill bourbon 52.5%","Beautiful malty profile, rich sugary barley, butterscotch, biscuit, vanilla, straw, green apple, faint tropical fruits, spice tingle.","Rich bright malt, sugary barley, biscuits, pastry, nilla wafer, all those warm and fuzzy type malt notes, vanilla icing, easygoing tropical fruits, light caramel. I love a good malty barley-forward Scotch and boy this is that. Nice mouthfeel that stays very friendly","No curveballs on the finish! Sweet sugary barley, vanilla frosting, warm and fuzzy malt, faint spice. A satisfying finish, delicious to the very end",8
"""Remus Repeal Reserve"" Bourbon Series V, 50%","Deep toasted oak and spice, brown sugar, musty wood, hot cherry, leathery tannins, chocolate, charred vanilla, big cinnamon spice. Nice darker toasted wood notes but still very lively","Thick brown sugar, vanilla, brash deeply toasted oak, mild bitter tannins, hot spice and cherry, some older musty wood, minty spice. Does a great job of feeling darker but not overly tannic or bitter, lots of lively sweetness and smooth spice. Drinks great at 50%, big lively mouthfeel with just a slight tinge of heat","Building spice heat and cherry, sweet vanilla, descends into more tannic wood and char, smooth minty spice",7
"Bunnahabhain 2002 15 year Chieftan's, Port finish 55%","Rich fruits of plum, cherry, strawberry, smooth wine funk, sweet malt, honey, caramel, tingly spice. It's quite wine-y and fruity in a smooth and pleasant way","Strawberry, dark cherry, caramel, honey, fruity wine, sweet honeyed malt, a mild wine tartness, spice. Very fruity and almost syrupy-sweet but not overwhelming. Fruits are well balanced by lots of thicker honey and caramel. This is a dessert Scotch and it works well","The fruits and caramel carry big into the finish, sweet and happy with some bright spice and sweet cake frosting",8
"Villa Zarri Italian Brandy 1989 30 year, 53%","Dark and woody. Thick chocolatey wood, musty and tannic, vanilla, cacao, sweet barrel char, graham cracker, leather, anise, dark bitter fruits.","Wow, so woody and tannic. Dark chocolate, dark bitter wood, spice, understated black cherry, toffee, barrel char, dry tannic oak, tobacco. There's some darker toffee sweetness and barrel char to balance it out, doesn't feel overly dry or bitter. Just thick and dark and woody","Dry tannic wood and oak spice builds big, old and antique feeling, some sweet barrel char, toffee, vanilla. There's some brief dark grape and caramel sweetness before it descends back into dry tannic wood, really nice complexity",7
"Giboin Cognac Borderies Lot 1974-8, 43%","Rich creamy toffee and caramel, sweet brown sugar, thick honey, milk chocolate and grape, sweet berry, thick caramel-toasted wood, it's almost butterscotchy in it's creaminess but it's darker and richer than that. Some older tannic tobacco type notes but it smoothly melds into the creamy toffee and woody thickness","On the palate, this delivers everything I had hoped for from the awesome nose. Thick creamy caramel and toffee, syrupy and thick the way it coats the mouth and velvety smooth, milk chocolate, dark rich honey, mellow baking spice, thick smooth oak, bright sweet apple and berry fruits, caramel-covered grape. This is freaking beautiful. Effortlessly rich and balanced and super drinkable","Bright grape and fruits, sweet brown sugar, toasted wood, vibrant baking spice, light tart berries and apple, sweet creamy toffee. Delicious complexity on the finish with the vibrant spice and tarter fruit popping up. Delicious",8
"Jean-Bon 1999 16 year, 45%","Thick caramel, graham cracker, sweet toasted wood and vanilla, fruity caramel covered grape, cherry, minty spice. Sweet and inviting","Caramel, big sweet toasted wood, chocolate grape, sweet cherry, some bright floral notes, light bitter woodiness and lively spice heat. Really nice caramel barrel sweetness and vanilla. Smooth balanced mouthfeel with some spice heat action","Sweet caramel and floral notes, spice, cherry, mildly tannic wood, some milk chocolate and vanilla. Pleasant sweet finish",7
"Jean-Bon 1990 30 year, 45%","Dark chocolate, burnt caramel, dark toasted oak, heavy vanilla, smooth leathery tannins, sweet char, chocolate raisin, berry, tingly minty spice","Dark tannic oak, smooth dark chocolate, cacoa, heavy vanilla, sweet burnt caramel, minty spice, sweet cherry, fruity grape, some smooth woody tannins. It's dark and oaky but in a rich chocolatey way, tons of vanilla and barrels sweetness and somehow some nice fruity grape emerges from all this dark wood.","Sweet charred barrel and vanilla, chocolate covered cherry, caramel toasted oak, trails off with sweet caramel, rich wood, cherry. Smooth chocolatey-sweet finish",8
"Jean-Bon 1979 41 year, 45%","Graham cracker, rich caramel, chocolatey toasted oak, antique cherry wood, smooth tannins, vanilla, healthy dose of cool wood spice, toffee, smooth chocolate raisin and berry. Lots of rich complex woodiness","Woody caramel, chocolate, thick cherry wood, bright spice, smooth chocolatey toasted oak, mild tannic bite, vanilla, understated grape and black cherry, some dry older wood with big wood spice. Delicious complex oak notes and understated fruits, thickly balanced","Gets lively and pops with wood spice, mint, woody caramel, chocolate, sweet cherry, lingering dry wood and spice. Smoothly tannic and woody",7
"Baraillon 1982 39 year Bas-Armagnac, 48%","Burnt grape, rancio, dark sweet toasted oak, dank wet wood, bitter chocolate, bold fruity grape and cherry, vanilla, mellow wood spice. It's as dark as I was expecting from the color but not tannic or dry. Lots of sweetness from the barrel notes, vanilla and bold fruits still. Great nose","Big dose of rancio and burnt grape, caramel, smooth tannic oak, wood spice, just slightly mouth-puckering though. There's still tons of sweet vanilla, bold fruity cherry/grape sweetness, toffee, dank wet wood. This stuff is really delicious and interesting. Big dose of darker wood and rancio compared to the rest but still has lots sweetness and bold fruits.","Rancio, dark fruity grape, heavy vanilla, sweet barrel char, thick caramel, some peppery spice. The thick sweetness of the grape and vanilla melds with the smooth dark rancio beautifully, stays in character til the end and lingers",9
"Baraillon 1972 48 year Bas-Armagnac, 46%","Big dank wood, tons of creamy caramel, orange, sweet fruity cherry, vanilla, sweet grape, sweetly toasted, bright sweet spice, some rancio. Heavy caramel woodiness but also vibrant and fruity and sweet","Big sweetly toasted oak, some dry wood notes, thick creamy caramel, bright orange, dank antique wood, soft rancio and tannins, vanilla, well balanced with thick fruity grape, milk chocolate","Dry wood and floral spice, sweet caramel, sweetly toasted, orange and cherry, vanilla, mild rancio.",9
"Baraillon 1973 47 year Bas-Armagnac, 47%","Bold sweetly charred wood, heavy vanilla, caramel, black cherry and fruity grape, chocolate, leather, mint, wood spice. Sweet dark wood and big fruits with a nice minty spice thing going on. This is freaking nice","Bold sweetly toasted wood, darkly toasted and sweet, woody black cherry, caramel, vanilla, bold fruity cherry and grape, smooth woody tannins, rancio, cacao. Explodes with darkly sweet flavor and smooth rancio","More dark sweet wood, vanilla, sweet fruity grape, big rancio notes come in on the end and linger with cherry and sweet dark wood",8
"Baraillon 1976 44 year Bas-Armagnac, 44%","Wet dank wood, sweetly toasted, big vanilla, caramel, rich chocolate, dark grape and berries, leather, a bit of earthiness, wood spice, clove","Big sweetly toasted oak, rich caramel, some dryer dark wood notes but not nearly as tannic or ""old"" tasting as the 1980, vanilla, dark fruity grape that is seemlessly interwoven with the dark oak notes.","Sweet toasted wood and rancio, wood spice, lusciuous caramel, cherry and dark wood. Sweet and woody, complex in a smooth and delicious kind of way",9
"Baraillon 1980 41 year Bas-Aramgnac, 46%","Dark dank wood, toffee, vanilla, black cherry, grape, dry woody tannins, dark chocolate, wood spice, mint. Woody, sweet, somewhat tannic, dark tart fruits","Big ""old"" tannic oak, caramel, smooth dry wood, vanilla, black cherry, cacao, smooth bitter wood tannins. Smooth and richly balanced much like the 1985 was, but the tannins have been kicked up a notch here in a really nice way. Smoothly balanced","Tannic dry wood, toasted oak, vanilla, caramel, lingering dry wood spice. A complex oak finish with lots of tannins and sweet woody cherry",8
"Baraillon 1985 36 year Bas-Armagnac, 43%","Rich dank wood, caramel, leather, cacao, orange, dark fruits, chocolate and sweet grape, vanilla, warm dark spice. Beautiful nose and very inviting. Rich and sweet and very well-balanced","Bold dank wood that is smoothly toasted and rich, caramel, vanilla, chocolate, extremely well integrated sweet fruity grape, orange, a hint of drier wood and mild tobacco/tannic notes. Insanely well-balanced, it all flows in a wave of thick flavor. And it does great at the low abv. Has a beautiful mouthfeel full of rich flavor while being super drinkable","Rich caramel, sweet toasted wood, vanilla, chocolatey grape. Sweetly toasted wood and grape linger",8
